"taxref10.CD_REF","binome.discoweed","family","taxo","binome.discoweed.noinfra","taxref10.CD_REF.infra","jauzein","za","biovigilance","fse","farmbio","cambecedes","lifeform","biogeo","red.FR","red.UK","module","c","z"
96191,"EPILOBIUM LANCEOLATUM","Onagraceae","binome","EPILOBIUM LANCEOLATUM","96191",1,0,0,0,0,0,"hemicryptophyte","atlantic(eury)",NA,"LC",9,0.71074,-0.16616
96208,"EPILOBIUM MONTANUM","Onagraceae","binome","EPILOBIUM MONTANUM","96208",1,0,0,1,0,0,"hemicryptophyte","Eurasian",NA,"LC",99,0.76967,0.66172
96226,"EPILOBIUM PALUSTRE","Onagraceae","binome","EPILOBIUM PALUSTRE","96226",0,0,0,1,0,0,"hemicryptophyte","circumboreal",NA,"LC",99,0.26399,5.9158
96229,"EPILOBIUM PARVIFLORUM","Onagraceae","binome","EPILOBIUM PARVIFLORUM","96229",1,0,0,1,0,0,"hemicryptophyte","European",NA,"LC",99,0.74757,3.724
96251,"EPILOBIUM ROSEUM","Onagraceae","binome","EPILOBIUM ROSEUM","96251",1,0,0,0,0,0,"hemicryptophyte","Eurasian",NA,"LC",9,0.56976,0.25986
96271,"EPILOBIUM TETRAGONUM","Onagraceae","binome","EPILOBIUM TETRAGONUM","96271",1,1,1,1,0,0,"hemicryptophyte","Eurasian",NA,"LC",99,0.73132,1.4226
96508,"EQUISETUM ARVENSE","Equisetaceae","binome","EQUISETUM ARVENSE","96508",1,1,1,1,1,0,"geophyte","circumboreal",NA,NA,NA,NA,NA
96534,"EQUISETUM PALUSTRE","Equisetaceae","binome","EQUISETUM PALUSTRE","96534",1,0,0,0,0,0,"geophyte","holarctic(septentrional)",NA,NA,NA,NA,NA
96539,"EQUISETUM RAMOSISSIMUM","Equisetaceae","binome","EQUISETUM RAMOSISSIMUM","96539",1,0,1,0,0,0,"geophyte","cosmopolitan",NA,NA,NA,NA,NA
96545,"EQUISETUM SYLVATICUM","Equisetaceae","binome","EQUISETUM SYLVATICUM","96545",0,0,0,1,0,0,"geophyte","holarctic(septentrional)",NA,NA,NA,NA,NA
